StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
1,2012,2.0,9.7,11.8,11.4,8.5,7.3,7.0,4.4,4.8,67.0,3.7,5.6,3.4,3.9,3.7,3.2,3.2,2.9,1.9,1.0,.3,0.0,587,0,6.7,5.0
2,2012,.6,12.0,10.4,9.7,11.7,8.4,6.8,6.1,5.8,71.5,5.5,5.5,4.2,3.9,1.9,2.9,1.9,1.6,.6,0.0,.3,0.0,309,0,6.2,5.0
3,2012,2.1,15.1,13.7,10.6,9.5,7.3,6.2,5.7,5.1,75.2,4.9,4.5,3.4,3.0,2.5,2.3,2.0,1.5,.7,0.0,0.0,0.0,2275,0,5.6,4.0
4,2012,2.6,14.2,15.5,11.5,10.5,9.1,4.7,5.0,5.7,78.8,4.3,4.3,1.7,2.6,2.6,2.6,1.3,1.4,.6,0.0,0.0,0.0,703,0,5.3,4.0
5,2012,2.8,14.9,14.9,12.8,10.6,8.1,6.5,5.2,4.6,80.4,4.0,3.3,2.8,2.4,1.9,1.4,1.3,1.1,1.2,.2,0.0,0.0,5938,0,5.1,4.0
6,2012,1.8,18.8,16.2,9.7,9.2,6.7,6.4,4.4,4.5,77.8,4.4,4.2,3.5,2.1,2.0,1.4,.8,1.7,1.8,.2,0.0,.1,905,0,5.2,4.0
7,2012,12.7,13.5,16.0,10.6,9.2,6.1,3.7,5.5,4.3,81.6,3.7,2.7,2.9,2.0,2.5,1.0,1.4,.4,1.8,0.0,0.0,0.0,489,1,4.6,3.0
8,2012,3.3,13.2,15.4,17.6,5.5,5.5,5.5,4.4,4.4,74.7,6.6,7.7,2.2,1.1,2.2,2.2,2.2,0.0,1.1,0.0,0.0,0.0,91,0,5.3,4.0
9,2012,.9,4.4,15.8,9.6,8.8,14.9,6.1,8.8,5.3,74.6,3.5,4.4,1.8,2.6,2.6,3.5,1.8,2.6,1.8,0.0,0.0,.9,114,0,6.4,5.0
10,2012,2.6,12.2,13.3,10.7,9.3,8.6,6.2,5.3,4.4,72.7,4.3,3.9,3.2,3.0,3.2,3.0,2.2,2.4,2.1,.1,0.0,0.0,3294,0,6.0,5.0
11,2012,2.6,12.0,13.0,10.9,9.6,8.4,6.2,4.9,4.8,72.6,5.1,4.6,4.4,2.2,3.1,3.1,1.5,2.3,1.1,.1,0.0,0.0,915,0,5.9,5.0
12,2012,2.1,11.2,23.0,9.6,6.4,8.0,6.4,8.6,3.7,79.1,4.3,3.2,2.7,1.6,1.6,1.6,.5,3.2,1.6,.5,0.0,0.0,187,0,5.4,4.0
13,2012,2.6,11.0,11.7,13.2,9.5,8.4,5.9,6.2,5.1,73.6,4.4,1.8,4.0,2.6,4.4,2.6,2.6,1.8,2.2,0.0,0.0,0.0,273,0,6.1,5.0
14,2012,.1,4.5,10.0,11.6,12.4,11.1,8.1,7.8,6.2,71.9,6.7,4.8,4.8,3.5,2.7,2.4,1.3,1.0,.8,.1,0.0,0.0,1803,0,6.4,6.0
15,2012,1.4,6.9,16.1,11.6,10.5,8.6,8.2,6.6,4.9,74.8,4.1,4.0,3.6,4.1,2.7,2.2,1.8,1.5,1.2,.1,.1,0.0,1713,0,6.0,5.0
16,2012,2.3,14.6,14.7,11.0,9.5,8.3,6.2,6.2,4.4,77.3,4.7,3.7,3.3,2.8,2.9,1.7,1.7,1.2,.6,0.0,0.0,0.0,1032,0,5.4,4.0
17,2012,1.6,9.7,13.2,10.3,10.5,9.4,6.5,5.0,5.4,71.6,5.8,4.7,3.5,3.5,2.2,3.3,1.7,2.2,1.3,.1,0.0,0.0,764,0,6.1,5.0
18,2012,.8,8.2,13.0,10.1,9.7,8.5,7.1,6.8,5.7,69.9,4.2,4.7,3.2,3.1,4.0,3.2,3.2,2.0,2.4,.1,0.0,0.0,784,0,6.6,5.0
19,2012,.8,8.9,15.7,15.6,12.2,8.9,7.5,6.9,5.3,81.7,3.4,4.3,2.0,2.9,1.5,1.7,.9,.8,.9,0.0,0.0,0.0,655,0,5.3,4.0
20,2012,0.0,12.7,15.1,12.7,10.7,8.2,5.8,6.5,2.4,74.2,3.1,2.7,3.8,2.1,3.1,2.7,2.7,2.7,2.4,.3,0.0,0.0,291,0,6.0,4.0
21,2012,2.0,10.8,19.1,11.2,8.4,7.7,5.9,4.2,3.5,72.7,3.1,4.0,2.4,2.4,5.1,3.1,2.6,2.4,1.5,.2,0.0,.4,455,0,6.0,4.0
22,2012,.5,11.5,17.1,14.3,9.4,10.2,7.0,6.0,6.4,82.5,4.2,3.1,3.7,2.0,1.5,1.5,.7,.7,.1,0.0,.1,0.0,754,0,5.1,4.0
23,2012,2.7,11.8,14.2,10.9,9.0,7.4,6.7,7.1,5.1,75.0,5.1,4.3,3.5,2.7,2.4,2.7,1.6,1.7,.9,.2,0.0,.0,2559,0,5.7,5.0
24,2012,3.8,15.2,10.4,8.8,11.0,8.1,5.4,6.3,6.0,75.0,3.8,3.5,3.5,4.2,2.1,2.1,1.2,2.5,1.9,.2,0.0,0.0,520,0,5.8,5.0
25,2012,2.1,7.3,14.8,11.5,8.9,7.1,7.1,4.7,4.9,68.5,6.1,4.2,5.2,4.0,3.5,1.4,1.6,.7,3.5,.9,.2,0.0,425,0,6.4,5.0
26,2012,2.5,12.9,13.2,9.8,8.8,8.1,7.7,5.9,5.0,73.9,5.0,3.7,3.7,2.9,1.8,2.0,2.4,2.1,2.0,.1,.2,.2,1228,0,5.9,5.0
27,2012,1.8,7.1,10.7,11.6,9.3,10.2,9.3,4.4,5.3,69.8,6.2,4.4,4.9,4.0,2.7,1.8,.9,.9,4.4,0.0,0.0,0.0,225,0,6.5,5.0
28,2012,3.4,9.4,13.2,16.1,12.0,8.6,7.2,4.3,4.8,78.9,3.4,2.6,3.8,2.9,1.9,1.4,1.7,1.7,1.7,0.0,0.0,0.0,417,0,5.5,4.0
29,2012,2.8,11.3,15.2,11.6,9.0,6.1,6.8,6.8,6.2,75.9,3.4,5.0,4.4,2.2,2.4,3.0,2.1,1.0,.6,0.0,0.0,0.0,776,0,5.7,4.5
30,2012,1.0,6.3,15.6,9.4,15.6,4.2,5.2,5.2,10.4,72.9,3.1,3.1,5.2,3.1,3.1,1.0,4.2,3.1,1.0,0.0,0.0,0.0,96,0,6.4,5.0
31,2012,1.7,12.4,18.9,14.0,8.1,7.4,6.4,4.4,4.7,77.9,4.2,2.9,3.2,2.7,2.9,2.5,2.0,.9,.7,0.0,0.0,0.0,1023,0,5.3,4.0
32,2012,1.2,8.4,11.3,10.1,10.7,7.8,6.1,7.5,4.9,68.1,4.9,3.8,6.7,4.9,3.8,2.0,2.9,2.0,.9,0.0,0.0,0.0,345,0,6.5,6.0
33,2012,.6,3.5,10.1,11.2,9.0,8.5,7.8,6.1,6.1,63.0,5.6,5.6,4.3,4.6,3.9,4.1,3.0,2.1,1.9,1.1,.5,.4,2179,3,7.4,6.0
34,2012,2.9,8.7,12.4,11.1,8.1,8.1,6.9,4.9,6.0,69.3,5.0,4.4,4.7,4.8,3.6,2.4,2.0,2.3,1.3,0.0,0.0,0.0,1327,2,6.3,5.0
35,2012,26.5,8.4,6.5,12.3,7.1,5.2,5.8,1.9,5.8,79.4,5.2,1.3,1.9,3.2,2.6,1.3,2.6,1.3,1.3,0.0,0.0,0.0,155,0,4.6,3.0
36,2012,4.2,12.8,14.8,11.0,8.9,6.7,5.9,5.3,4.5,74.1,4.4,3.9,3.0,2.0,3.2,2.9,2.6,1.9,2.0,.1,0.0,0.0,1250,0,5.7,4.0
37,2012,2.3,13.2,13.3,10.8,8.5,7.9,7.8,6.4,5.3,75.5,5.8,3.4,4.0,2.9,2.3,2.0,1.4,1.6,1.0,0.0,0.0,0.0,1533,0,5.7,5.0
38,2012,.1,4.4,14.6,15.5,11.7,8.8,7.0,7.0,7.0,76.3,5.1,4.0,3.4,3.5,3.1,2.0,1.2,.6,.9,0.0,0.0,0.0,683,0,5.9,5.0
39,2012,1.4,12.9,16.7,11.8,10.2,8.3,6.3,5.7,5.2,78.6,4.2,3.7,3.6,2.1,2.4,1.4,1.3,1.3,.9,.2,.2,.1,1881,0,5.4,4.0
40,2012,4.2,14.1,22.0,7.9,5.2,5.2,5.8,4.7,2.1,71.2,6.3,4.7,3.7,1.6,4.2,3.1,1.0,2.1,2.1,0.0,0.0,0.0,191,0,5.6,4.0
41,2012,3.4,10.7,11.7,11.5,9.9,7.2,4.9,7.1,6.2,72.6,5.2,4.1,5.0,3.1,3.2,1.4,1.5,2.1,1.7,.1,0.0,0.0,776,0,6.0,5.0
42,2012,1.6,6.3,11.1,15.1,9.5,11.9,9.5,9.5,4.0,78.6,5.6,5.6,2.4,4.8,2.4,0.0,0.0,0.0,.8,0.0,0.0,0.0,126,0,5.6,5.0
43,2012,4.1,13.9,12.3,8.1,7.9,5.9,5.0,4.3,4.6,66.1,5.2,3.1,4.1,5.2,3.3,3.0,3.9,3.4,2.8,0.0,0.0,0.0,813,0,6.5,5.0
44,2012,1.6,12.4,16.2,11.5,9.3,8.3,6.8,5.9,4.6,76.6,4.2,4.2,3.5,3.1,2.0,2.3,1.2,1.6,1.2,.1,0.0,0.0,5039,0,5.6,4.0
45,2012,9.1,13.2,10.7,11.0,9.4,9.1,7.1,4.6,4.3,78.5,4.1,3.4,3.0,2.5,2.7,1.6,1.1,1.4,1.4,.2,.2,0.0,562,0,5.2,4.0
46,2012,1.7,15.7,13.4,10.5,7.6,5.2,3.5,5.2,5.8,68.6,4.1,2.9,7.0,4.1,4.1,1.7,1.7,1.7,4.1,0.0,0.0,0.0,172,0,6.3,5.0
47,2012,.8,8.3,11.7,8.9,7.7,6.4,5.6,5.9,5.8,61.2,4.7,5.3,4.5,5.3,3.9,3.1,3.4,4.5,3.1,.8,0.0,0.0,639,0,7.4,7.0
48,2012,1.6,17.3,15.6,14.4,9.3,8.1,6.0,3.6,3.9,80.0,3.6,2.9,3.1,2.5,2.1,1.5,1.5,1.6,1.1,0.0,0.0,0.0,1227,0,5.0,4.0
49,2012,1.9,11.6,12.5,10.0,10.4,8.2,6.6,7.1,6.3,74.7,4.1,4.9,3.5,3.2,2.4,3.0,1.1,1.4,1.6,.2,0.0,0.0,632,0,5.9,5.0
50,2012,6.0,7.9,11.0,12.5,11.2,7.8,7.8,5.3,5.1,74.5,5.1,3.7,3.7,3.7,2.0,2.5,1.2,1.6,2.0,.1,0.0,0.0,761,0,5.8,5.0
51,2012,0.0,7.4,9.9,11.1,12.3,12.3,12.3,4.9,6.2,76.5,3.7,2.5,4.9,2.5,2.5,2.5,0.0,1.2,1.2,2.5,0.0,0.0,81,0,6.2,5.0
52,2012,2.1,2.1,10.6,8.5,10.6,6.4,4.3,6.4,10.6,61.7,10.6,6.4,0.0,0.0,4.3,4.3,4.3,2.1,0.0,0.0,4.3,2.1,47,0,7.7,7.0
1,2013,1.5,11.2,12.5,10.8,9.3,6.4,6.9,6.9,3.9,69.5,4.4,5.6,4.4,2.7,5.0,1.9,1.9,2.7,1.0,.8,0.0,0.0,518,0,6.3,5.0
2,2013,1.2,11.0,11.0,11.0,9.8,12.5,7.9,6.1,4.0,74.4,6.7,4.9,4.0,2.7,2.1,2.1,.3,1.5,.9,.3,0.0,0.0,328,0,5.8,5.0
3,2013,2.6,15.3,14.0,10.9,8.6,7.3,6.7,6.3,4.7,76.4,4.1,4.3,3.1,3.1,2.9,1.7,1.8,1.2,1.4,.1,0.0,0.0,2522,0,5.5,4.0
4,2013,4.2,16.6,13.7,10.7,8.2,6.7,5.6,5.2,4.8,75.8,4.9,2.7,3.5,3.9,2.3,2.0,1.6,1.7,1.2,.3,0.0,0.0,691,0,5.4,4.0
5,2013,3.3,16.0,15.7,13.1,9.4,8.1,7.1,5.5,4.3,82.6,3.5,3.1,3.0,1.9,1.8,1.4,.9,.8,.8,.2,0.0,0.0,5541,0,4.9,4.0
6,2013,1.7,17.8,14.3,11.1,8.1,7.4,5.1,7.0,5.9,78.4,4.2,3.6,3.3,2.2,2.2,2.4,1.4,1.0,1.0,.1,.1,0.0,782,0,5.3,4.0
7,2013,9.9,13.5,12.1,11.9,9.1,7.3,3.8,5.2,4.6,77.4,2.8,3.8,4.2,3.2,2.4,1.6,2.2,1.4,.8,0.0,0.0,0.0,496,1,5.2,4.0
8,2013,2.7,17.9,18.8,13.4,8.9,7.1,2.7,1.8,7.1,80.4,6.3,2.7,2.7,2.7,2.7,.9,0.0,0.0,1.8,0.0,0.0,0.0,112,0,4.8,3.0
9,2013,0.0,4.5,12.7,14.5,9.1,11.8,7.3,3.6,10.0,73.6,5.5,4.5,2.7,0.0,0.0,3.6,2.7,1.8,.9,1.8,2.7,0.0,110,0,6.6,5.0
10,2013,3.8,12.5,12.2,11.4,8.2,7.9,6.8,5.7,4.9,73.4,3.6,3.7,3.5,3.3,2.5,3.0,2.4,2.0,2.4,.1,0.0,0.0,3416,1,6.0,5.0
11,2013,2.0,12.3,11.5,10.1,9.2,8.4,8.4,5.0,6.8,73.9,4.5,3.3,3.4,3.2,3.1,2.0,2.8,2.6,1.2,0.0,0.0,0.0,1031,0,6.1,5.0
12,2013,1.9,6.3,15.1,8.2,13.8,7.5,6.3,9.4,5.7,74.2,4.4,4.4,3.1,4.4,1.3,1.9,3.1,1.9,1.3,0.0,0.0,0.0,159,1,6.2,5.0
13,2013,1.0,11.7,11.7,10.7,7.8,7.8,6.3,5.3,5.3,67.5,4.9,2.9,2.9,3.4,6.3,3.9,4.4,1.9,1.9,0.0,0.0,0.0,206,0,6.7,5.0
14,2013,.1,3.5,10.1,12.8,12.9,10.5,9.5,6.0,6.7,72.3,5.8,4.6,4.1,3.9,4.1,1.5,1.5,1.3,.7,.1,.1,0.0,1356,0,6.4,5.5
15,2013,1.0,7.9,16.2,12.5,8.9,9.5,5.6,6.5,5.1,73.3,5.1,4.1,3.9,4.1,2.8,2.6,2.0,1.2,.7,.3,0.0,0.0,961,0,6.0,5.0
16,2013,2.8,12.8,13.1,10.3,11.0,9.6,6.8,6.9,6.3,79.5,5.0,4.0,3.9,2.6,1.2,1.6,.8,.9,.3,.1,0.0,0.0,917,0,5.3,5.0
17,2013,1.0,9.1,12.2,12.3,9.1,10.1,6.8,7.1,4.6,72.3,5.2,5.2,4.2,3.1,2.7,2.8,1.9,1.9,.7,0.0,0.0,0.0,674,0,6.1,5.0
18,2013,.3,8.7,12.9,8.7,10.2,7.2,5.3,5.8,5.9,64.7,5.1,5.1,4.8,3.6,4.6,2.5,2.8,3.3,3.1,.1,0.0,.1,797,0,7.0,6.0
19,2013,.5,8.2,14.6,12.4,10.4,10.3,8.9,6.6,4.4,76.3,5.2,3.1,4.8,3.0,2.5,2.2,.8,1.5,.4,.1,0.0,0.0,731,0,5.8,5.0
20,2013,.5,9.8,17.3,14.0,10.3,8.4,8.9,7.5,5.6,82.2,2.8,3.3,1.4,1.9,4.2,3.3,0.0,.5,.5,0.0,0.0,0.0,214,0,5.3,4.0
21,2013,2.5,12.4,18.0,13.0,10.1,8.2,5.4,4.5,3.4,77.5,3.4,3.1,4.5,2.3,2.3,1.4,2.0,1.1,1.7,.6,.3,0.0,355,0,5.4,4.0
22,2013,1.0,14.9,16.5,11.1,10.6,9.4,8.3,5.3,4.4,81.5,3.5,3.6,3.1,1.8,1.9,1.5,1.3,1.4,.4,.1,0.0,0.0,799,0,5.1,4.0
23,2013,4.1,12.5,11.5,11.6,9.3,7.6,6.8,5.0,4.9,73.3,5.2,3.7,3.8,3.7,3.0,2.1,2.3,1.6,1.1,.1,0.0,0.0,2374,0,5.8,5.0
24,2013,3.1,16.0,14.6,10.3,8.2,6.9,5.3,6.3,3.9,74.6,5.5,3.8,2.6,3.6,2.7,1.9,1.9,1.7,1.4,.2,.2,0.0,583,0,5.6,4.0
25,2013,.9,5.1,12.2,11.1,10.5,9.7,6.3,6.0,7.4,69.0,5.4,4.0,5.1,3.7,3.7,2.3,3.1,2.8,.9,0.0,0.0,0.0,352,0,6.7,6.0
26,2013,3.5,13.9,12.1,10.7,8.8,8.0,6.6,4.8,4.8,73.2,4.5,3.9,4.3,3.5,3.1,2.0,1.7,1.6,1.9,.2,.1,.1,1233,0,5.8,5.0
27,2013,1.2,11.5,15.2,9.7,8.5,9.7,6.1,6.7,6.7,75.2,4.8,3.6,3.6,1.8,3.0,4.8,2.4,.6,0.0,0.0,0.0,0.0,165,0,5.8,5.0
28,2013,2.6,8.7,13.3,12.8,10.4,8.7,8.9,7.0,4.8,77.1,5.3,2.6,3.6,2.4,1.9,2.0,2.7,1.7,.7,0.0,0.0,0.0,586,0,5.7,5.0
29,2013,2.7,10.7,14.5,10.6,9.6,8.2,6.2,5.5,5.3,73.4,6.3,5.2,2.5,4.4,2.9,1.6,1.5,1.2,1.0,0.0,0.0,0.0,729,0,5.8,5.0
30,2013,.9,2.8,16.5,12.8,12.8,11.9,10.1,7.3,4.6,79.8,4.6,4.6,4.6,.9,.9,1.8,.9,0.0,1.8,0.0,0.0,0.0,109,1,5.7,5.0
31,2013,1.2,12.0,18.3,13.3,11.1,8.0,6.0,5.3,4.4,79.6,3.0,3.3,2.9,2.5,2.4,1.5,2.2,1.6,1.0,0.0,0.0,0.0,927,0,5.3,4.0
32,2013,.6,11.0,12.9,10.6,8.4,8.1,8.1,4.8,5.2,69.7,5.5,5.8,4.8,2.9,1.6,4.2,2.9,1.3,1.3,0.0,0.0,0.0,310,0,6.3,5.0
